listing_url,listing_id,plate_number,image_index,image_url
https://www.otomol.com/araclar/audi-a3-1-6-tdi-ambiente-s-tronic-2016-ikinci-el-araba-8338,8338,,6,https://www.otomol.com/gorsel/40232031-b01a-425e-94bd-eeea83405100
https://www.otomol.com/araclar/audi-a3-1-6-tdi-ambiente-s-tronic-2016-ikinci-el-araba-8338,8338,,7,https://www.otomol.com/gorsel/1ba7dd9a-a503-4607-8b6d-61cac66ed5f0
https://www.otomol.com/araclar/audi-a3-1-6-tdi-ambiente-s-tronic-2016-ikinci-el-araba-8338,8338,,8,https://www.otomol.com/gorsel/bf3145be-56b9-49bc-98e1-70a7e1afd43d
https://www.otomol.com/araclar/audi-a3-1-6-tdi-ambiente-s-tronic-2016-ikinci-el-araba-8338,8338,,9,https://www.otomol.com/gorsel/966cf68a-f0b1-4b86-b2db-ec1e9a04fdbf
https://www.otomol.com/araclar/audi-a3-1-6-tdi-ambiente-s-tronic-2016-ikinci-el-araba-8338,8338,,10,https://www.otomol.com/gorsel/ed784a5b-4a53-4f02-9260-146c259e19f1
https://www.otomol.com/araclar/audi-a3-1-6-tdi-ambiente-s-tronic-2016-ikinci-el-araba-8338,8338,,11,https://www.otomol.com/gorsel/24ecc642-54ac-4911-ac97-9155abd15421
https://www.otomol.com/araclar/audi-a3-1-6-tdi-ambiente-s-tronic-2016-ikinci-el-araba-8338,8338,,12,https://www.otomol.com/gorsel/42b309ea-ff4d-482b-82ec-0a02c9ddbbee
https://www.otomol.com/araclar/audi-a3-1-6-tdi-ambiente-s-tronic-2016-ikinci-el-araba-8338,8338,,13,https://www.otomol.com/gorsel/4197dcbd-0607-40d7-909c-006e8c83dd34
https://www.otomol.com/araclar/audi-a3-1-6-tdi-ambiente-s-tronic-2016-ikinci-el-araba-8338,8338,,14,https://www.otomol.com/gorsel/5833b6e4-1910-402d-944b-72d9767531fa
https://www.otomol.com/araclar/audi-a3-1-6-tdi-ambiente-s-tronic-2016-ikinci-el-araba-8338,8338,,15,https://www.otomol.com/gorsel/d7f2fdd6-dbbc-4532-9b21-d4a0b9750711
https://www.otomol.com/araclar/audi-a3-1-6-tdi-ambiente-s-tronic-2016-ikinci-el-araba-8338,8338,,16,https://www.otomol.com/gorsel/7b2bbcfa-4c10-438a-8377-2376a25fa932
https://www.otomol.com/araclar/audi-a3-1-6-tdi-ambiente-s-tronic-2016-ikinci-el-araba-8338,8338,,17,https://www.otomol.com/gorsel/98e68a50-43bc-4696-8ecc-d17f4fa3f7a6
https://www.otomol.com/araclar/audi-a3-1-6-tdi-ambiente-s-tronic-2016-ikinci-el-araba-8338,8338,,18,https://www.otomol.com/gorsel/a29e0457-6a49-4ef3-ad79-a121486c62d8
https://www.otomol.com/araclar/audi-a3-1-6-tdi-ambiente-s-tronic-2016-ikinci-el-araba-8338,8338,,19,https://www.otomol.com/gorsel/2c499d9b-222c-4af4-ad4b-a77a75abc498
https://www.otomol.com/araclar/audi-a3-1-6-tdi-ambiente-s-tronic-2016-ikinci-el-araba-8338,8338,,20,https://www.otomol.com/gorsel/25e6e9d1-bb13-42c6-90ab-91cb823691fb
https://www.otomol.com/araclar/audi-a3-1-6-tdi-ambiente-s-tronic-2016-ikinci-el-araba-8338,8338,,21,https://www.otomol.com/gorsel/1f8e89ad-d173-465f-91b1-d919f009137f
https://www.otomol.com/araclar/audi-a3-1-6-tdi-ambiente-s-tronic-2016-ikinci-el-araba-8338,8338,,22,https://www.otomol.com/gorsel/a70da51e-62e1-4aa0-8fc7-54b61cdd8810
https://www.otomol.com/araclar/audi-a3-1-6-tdi-ambiente-s-tronic-2016-ikinci-el-araba-8338,8338,,23,https://www.otomol.com/gorsel/f0ea2dcb-1ab4-4463-acc2-a834f400a778
https://www.otomol.com/araclar/audi-q2-35-tfsi-advanced-otomatik-2023-ikinci-el-araba-8765,8765,34HRC993,1,https://www.otomol.com/gorsel/670b6796-fc34-41da-be8d-80b73a7ac415
https://www.otomol.com/araclar/audi-q2-35-tfsi-advanced-otomatik-2023-ikinci-el-araba-8765,8765,34HRC993,2,https://www.otomol.com/gorsel/d5e01ebc-618a-456e-adf0-29f867a8dfa6
https://www.otomol.com/araclar/audi-q2-35-tfsi-advanced-otomatik-2023-ikinci-el-araba-8765,8765,34HRC993,3,https://www.otomol.com/gorsel/ba8d8b15-15af-44c3-8851-4fb2a139e075
https://www.otomol.com/araclar/audi-q2-35-tfsi-advanced-otomatik-2023-ikinci-el-araba-8765,8765,34HRC993,4,https://www.otomol.com/gorsel/1ae37b5a-2d12-48c3-b0d6-0a083a60d48c
